2020-06-30 15:42, 32, IC
2020-06-30 15:42, 34, IC
2020-06-30 15:42, 29, CG
2020-06-30 15:42, 35, IC
2020-06-30 15:42, 36, CG
2020-06-30 15:44, 36, IC
2020-06-30 15:44, 23, IC
2020-06-30 15:44, 26, CG
2020-06-30 15:44, 29, CG
2020-06-30 15:44, 35, CG
2020-06-30 15:44, 19, IC
2020-06-30 15:44, 21, CG
2020-06-30 15:44, 20, CG
2020-06-30 15:44, 25, CG
2020-06-30 15:45, 38, IC
2020-06-30 15:45, 39, CG
2020-06-30 15:46, 19, IC
2020-06-30 15:47, 16, CG
2020-06-30 15:48, 27, IC
2020-06-30 15:48, 27, CG
2020-06-30 15:48, 19, IC
2020-06-30 15:48, 28, CG
2020-06-30 15:48, 16, CG
2020-06-30 15:48, 39, CG
2020-06-30 15:48, 17, IC
2020-06-30 15:48, 21, CG
2020-06-30 15:48, 20, IC
2020-06-30 15:49, 18, CG
2020-06-30 15:49, 16, CG
2020-06-30 15:49, 17, CG
2020-06-30 15:49, 18, IC
2020-06-30 15:49, 17, IC
2020-06-30 15:49, 15, IC
2020-06-30 15:49, 15, CG
2020-06-30 15:49, 23, CG
2020-06-30 15:49, 16, IC
2020-06-30 15:49, 19, CG
2020-06-30 15:50, 19, CG
2020-06-30 15:50, 20, CG
2020-06-30 15:50, 16, CG
2020-06-30 15:50, 15, IC
2020-06-30 15:50, 16, IC
2020-06-30 15:51, 16, CG
2020-06-30 15:51, 15, CG
2020-06-30 15:51, 21, CG
2020-06-30 15:51, 15, IC
2020-06-30 15:51, 14, CG
2020-06-30 15:51, 19, IC
2020-06-30 15:51, 16, IC
2020-06-30 15:51, 14, IC
2020-06-30 15:52, 17, CG
2020-06-30 15:52, 15, IC
2020-06-30 15:52, 38, IC
2020-06-30 15:52, 14, IC
2020-06-30 15:52, 16, IC
2020-06-30 15:52, 16, CG
2020-06-30 15:52, 20, IC
2020-06-30 15:53, 21, CG
2020-06-30 15:53, 19, CG
2020-06-30 15:53, 15, IC
2020-06-30 15:53, 15, CG
2020-06-30 15:53, 18, CG
2020-06-30 15:53, 20, CG
2020-06-30 15:53, 17, CG
2020-06-30 15:53, 12, CG
2020-06-30 15:53, 23, CG
